Bloco;Bairro;Data;Concentração;Desfile;Final;Local da Concentraçao;Público Estimado
Se Concentra mas Não Sai e Caldeirão;Campo Grande;27/01/2018;16:00:00;16:00:00;22:00:00;Rua Ministro Carlos Medeiros;500
Na Pressão Eu Vou;Campo Grande;10/02/2018;12:00:00;14:00:00;18:00:00;Avenida Cesário de Melo, esquina com Coronel Agostinho;1.000
Vamos que Vamos;Campo Grande;10/02/2018;16:00:00;18:00:00;20:00:00;Rua Santo Amando;600
Lagarto Mama de Campo Grande ;Campo Grande;12/02/2018;14:00:00;15:00:00;17:00:00;Av. Glicinia com Estrada do Cabuçu ;2.800
